gvkey	date	permco
114628	200206	35048
114628	200207	35048
114628	200208	35048
114628	200209	35048
114628	200210	35048
114628	200211	35048
114628	200212	35048
114628	200301	35048
114628	200302	35048
114628	200303	35048
114628	200304	35048
114628	200305	35048
114628	200306	35048
114628	200307	35048
114628	200308	35048
114628	200309	35048
114628	200310	35048
114628	200311	35048
114628	200312	35048
114628	200401	35048
114628	200402	35048
114628	200403	35048
114628	200404	35048
114628	200405	35048
114628	200406	35048
114628	200407	35048
114628	200408	35048
114628	200409	35048
114628	200410	35048
114628	200411	35048
114628	200412	35048
114628	200501	35048
114628	200502	35048
114628	200503	35048
114628	200504	35048
114628	200505	35048
114628	200506	35048
114628	200507	35048
114628	200508	35048
114628	200509	35048
114628	200510	35048
114628	200511	35048
114628	200512	35048
114628	200601	35048
114628	200602	35048
114628	200603	35048
114628	200604	35048
114628	200605	35048
114628	200606	35048
114628	200607	35048
114628	200608	35048
114628	200609	35048
114628	200610	35048
114628	200611	35048
114628	200612	35048
114628	200701	35048
114628	200702	35048
114628	200703	35048
114628	200704	35048
114628	200705	35048
114628	200706	35048
114628	200707	35048
114628	200708	35048
114628	200709	35048
114628	200710	35048
114628	200711	35048
114628	200712	35048
114628	200801	35048
114628	200802	35048
114628	200803	35048
114628	200804	35048
114628	200805	35048
114628	200806	35048
114628	200807	35048
114628	200808	35048
114628	200809	35048
114628	200810	35048
114628	200811	35048
114628	200812	35048
114628	200901	35048
114628	200902	35048
114628	200903	35048
114628	200904	35048
114628	200905	35048
114628	200906	35048
114628	200907	35048
114628	200908	35048
114628	200909	35048
114628	200910	35048
114628	200911	35048
114628	200912	35048
114628	201001	35048
114628	201002	35048
114628	201003	35048
114628	201004	35048
114628	201005	35048
114628	201006	35048
114628	201007	35048
114628	201008	35048
114628	201009	35048
114628	201010	35048
114628	201011	35048
114628	201012	35048
114628	201101	35048
114628	201102	35048
114628	201103	35048
114628	201104	35048
114628	201105	35048
114628	201106	35048
114628	201107	35048
114628	201108	35048
114628	201109	35048
114628	201110	35048
114628	201111	35048
114628	201112	35048
114628	201201	35048
114628	201202	35048
114628	201203	35048
114628	201204	35048
114628	201205	35048
114628	201206	35048
114628	201207	35048
114628	201208	35048
114628	201209	35048
114628	201210	35048
114628	201211	35048
114628	201212	35048
114628	201301	35048
114628	201302	35048
114628	201303	35048
114628	201304	35048
114628	201305	35048
114628	201306	35048
114628	201307	35048
114628	201308	35048
114628	201309	35048
114628	201310	35048
114628	201311	35048
114628	201312	35048
114628	201401	35048
114628	201402	35048
114628	201403	35048
114628	201404	35048
114628	201405	35048
114628	201406	35048
114628	201407	35048
114628	201408	35048
114628	201409	35048
114628	201410	35048
114628	201411	35048
114628	201412	35048
114628	201501	35048
114628	201502	35048
114628	201503	35048
114628	201504	35048
114628	201505	35048
114628	201506	35048
114628	201507	35048
114628	201508	35048
114628	201509	35048
114628	201510	35048
114628	201511	35048
114628	201512	35048
114628	201601	35048
114628	201602	35048
114628	201603	35048
114628	201604	35048
114628	201605	35048
114628	201606	35048
114628	201607	35048
114628	201608	35048
114628	201609	35048
114628	201610	35048
114628	201611	35048
114628	201612	35048
114628	201701	35048
114628	201702	35048
114628	201703	35048
114628	201704	35048
114628	201705	35048
114628	201706	35048
114628	201707	35048
114628	201708	35048
114628	201709	35048
114628	201710	35048
114628	201711	35048
114628	201712	35048
114628	201801	35048
114628	201802	35048
114628	201803	35048
114628	201804	35048
114628	201805	35048
114628	201806	35048
114628	201807	35048
114628	201808	35048
114628	201809	35048
114628	201810	35048
114628	201811	35048
114628	201812	35048
114628	201901	35048
170617	201205	54084
170617	201206	54084
170617	201207	54084
170617	201208	54084
170617	201209	54084
170617	201210	54084
170617	201211	54084
170617	201212	54084
170617	201301	54084
170617	201302	54084
170617	201303	54084
170617	201304	54084
170617	201305	54084
170617	201306	54084
170617	201307	54084
170617	201308	54084
170617	201309	54084
170617	201310	54084
170617	201311	54084
170617	201312	54084
170617	201401	54084
170617	201402	54084
170617	201403	54084
170617	201404	54084
170617	201405	54084
170617	201406	54084
170617	201407	54084
170617	201408	54084
170617	201409	54084
170617	201410	54084
170617	201411	54084
170617	201412	54084
170617	201501	54084
170617	201502	54084
170617	201503	54084
170617	201504	54084
170617	201505	54084
170617	201506	54084
170617	201507	54084
170617	201508	54084
170617	201509	54084
170617	201510	54084
170617	201511	54084
170617	201512	54084
170617	201601	54084
170617	201602	54084
170617	201603	54084
170617	201604	54084
170617	201605	54084
170617	201606	54084
170617	201607	54084
170617	201608	54084
170617	201609	54084
170617	201610	54084
170617	201611	54084
170617	201612	54084
170617	201701	54084
170617	201702	54084
170617	201703	54084
170617	201704	54084
170617	201705	54084
170617	201706	54084
170617	201707	54084
170617	201708	54084
170617	201709	54084
170617	201710	54084
170617	201711	54084
170617	201712	54084
170617	201801	54084
170617	201802	54084
170617	201803	54084
170617	201804	54084
170617	201805	54084
170617	201806	54084
170617	201807	54084
170617	201808	54084
170617	201809	54084
170617	201810	54084
170617	201811	54084
170617	201812	54084
170617	201901	54084
